descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ÁGUA SANITÁRIA",4376467,300,NAO_COTOU,GAL,0,0
Alvejante,4376468,90,NAO_COTOU,GAL,0,0
"Álcool etílico em gel 70% (70 INPM)",4376469,100,NAO_COTOU,GR,0,0
"Álcool etílico hidratado 96% (92,8º INPM)",4376470,30,NAO_COTOU,LT,0,0
"Amaciante para tecidos",4376471,70,NAO_COTOU,GAL,0,0
"Desinfetante de uso geral",4376472,100,NAO_COTOU,GAL,0,0
"Detergente Neutro Líquido de Uso Geral",4376473,110,NAO_COTOU,GAL,0,0
"Sabão liquido de coco",4376474,100,NAO_COTOU,GAL,0,0
"Detergente com Cera Para Veículos",4376475,100,NAO_COTOU,GAL,0,0
"Limpa pneus com silicone",4376476,40,NAO_COTOU,GAL,0,0
"Cera auto-brilho.",4376477,30,NAO_COTOU,GRF,0,0
"Lustra móveis;",4376478,40,NAO_COTOU,FRA,0,0
"Detergente Multi uso concentrado",4376479,30,NAO_COTOU,GAL,0,0
"Desodorizador de ambientes",4376480,50,NAO_COTOU,ML,0,0
"Pedra Sanitária",4376481,100,NAO_COTOU,UND,0,0
"Sabão em barra",4376482,20,NAO_COTOU,PCT,0,0
"SABAO EM PO",4376483,75,NAO_COTOU,KG,0,0
"Sabonete líquido.",4376484,50,NAO_COTOU,GAL,0,0
"Saponaceo em po.",4376485,20,NAO_COTOU,UND,0,0
"Saponáceo cremoso.",4376486,50,NAO_COTOU,UND,0,0
"Desinfetante Desengordurante.",4376487,25,NAO_COTOU,GRF,0,0
"Aplicador de cera",4376488,4,NAO_COTOU,UND,0,0
"Luva para aplicador de cera",4376489,10,NAO_COTOU,UND,0,0
"Escova para lavar roupas",4376490,20,NAO_COTOU,UND,0,0
"Escova para higienização de mãos e unhas",4376491,10,NAO_COTOU,UND,0,0
"Palha de Aço Nº 0",4376492,150,NAO_COTOU,UND,0,0
"Palha de Aço Nº 1",4376493,150,NAO_COTOU,UND,0,0
"Palha de Aço Nº 2",4376494,150,NAO_COTOU,UND,0,0
"Esponja de lã de Aço.",4376495,150,NAO_COTOU,PCT,0,0
ESPONJA,4376496,50,NAO_COTOU,PCT,0,0
"Flanela para limpeza;",4376497,50,NAO_COTOU,UND,0,0
"LUVA PARA LIMPEZA",4376498,20,NAO_COTOU,UND,0,0
"Balde Espremedor",4376499,1,NAO_COTOU,UND,0,0
"REFIL MOP UMIDO",4376500,60,NAO_COTOU,UND,0,0
"Cabo de aluminio para suporte de Mop Úmido",4376501,10,NAO_COTOU,UND,0,0
"Balde com espremedor giratório",4376502,6,NAO_COTOU,UND,0,0
"Refil para balde giratório",4376503,40,NAO_COTOU,UND,0,0
"Pá coletora plástica.",4376504,5,NAO_COTOU,UND,0,0
"Pá de lixo plástica.",4376505,5,NAO_COTOU,UND,0,0
"Pano de copa e cozinha",4376506,50,NAO_COTOU,UND,0,0
"Pano Multiúso",4376507,20,NAO_COTOU,RL,0,0
"Bobina de Papel Toalha",4376508,80,NAO_COTOU,CX,0,0
"DISPENSER PARA PAPEL TOALHA",4376509,5,NAO_COTOU,UND,0,0
"Papel higiênico",4376510,6,DESCLASSIFICADO,FRD,406.2,67.7
"Papel Higiênico Rolão",4376511,50,DESCLASSIFICADO,FRD,2900,58
"Porta Papel Higiênico Rolão",4376512,5,NAO_COTOU,UND,0,0
"RODO PLASTICO",4376513,10,NAO_COTOU,UND,0,0
"Saca de tecido crua.",4376514,10,NAO_COTOU,PCT,0,0
"Saco plástico de lixo doméstico de polietileno 240 L",4376515,20,NAO_COTOU,UND,0,0
"Saco plástico de lixo de polietileno 100 L",4376516,10,DESCLASSIFICADO,UND,576.5,57.65
"Saco plástico de lixo doméstico de polietileno 50 L",4376517,15,DESCLASSIFICADO,UND,475.5,31.7
"Saco plástico de lixo doméstico de polietileno 30 L",4376518,15,PERDEU,UND,153,10.2
"Vassoura Nylon",4376519,20,NAO_COTOU,UND,0,0
"VASSOURA PALHA",4376520,20,NAO_COTOU,UND,0,0
"Dispenser para sabonete líquido",4376521,5,NAO_COTOU,UND,0,0
"Copo descartavel 180 ml",4376522,20,DESCLASSIFICADO,CX,1118,55.9
"Copo descartável 300 ml",4376523,20,DESCLASSIFICADO,CX,1660,83
"Guardanapo de papel folha simples.",4376524,200,NAO_COTOU,EMB,0,0
"Agenda de Escritório",4376525,10,NAO_COTOU,UND,0,0
"Apagador para Quadro Branco.",4376526,5,VENCEU,UND,11.5,2.3
APONTADOR.,4376527,20,DESCLASSIFICADO,UND,25.8,1.29
Atilho,4376528,10,VENCEU,CX,14.7,1.47
"Bloco de recados grande",4376529,10,DESCLASSIFICADO,EMB,34,3.4
"Blocos de recados pequeno",4376530,10,VENCEU,EMB,29,2.9
"Bobina Termica",4376531,40,VENCEU,UND,116,2.9
"Borracha de vinil.",4376532,20,VENCEU,UND,9.6,0.48
Cadernetas,4376533,20,PERDEU,UND,96.2,4.81
CADERNO,4376534,20,VENCEU,UND,100,5
"Caixa arquivo morto desmontável",4376535,100,DESCLASSIFICADO,UND,450,4.5
"Alfinetes com cabeça",4376536,5,VENCEU,CX,13,2.6
