descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Álcool etílico 70° antisséptico",4397877,5125,DESCLASSIFICADO,FRA,29622.5,5.78
"Álcool etílico 70° antisséptico",4397878,15375,DESCLASSIFICADO,FRA,88867.5,5.78
"Álcool gel 70% para higiene das mãos",4397879,3875,PERDEU,FRA,22823.75,5.89
"Álcool gel 70% para higiene das mãos",4397880,11625,PERDEU,FRA,68471.25,5.89
"Clorexidina aquosa",4397881,3500,DESCLASSIFICADO,UND,0,0
"Desinfetante de uso geral 5 Litros.",4397882,2124,DESCLASSIFICADO,GAL,16418.52,7.73
"Desinfetante de uso geral 5 Litros.",4397883,6375,DESCLASSIFICADO,GAL,49278.75,7.73
"Desodorizador sanitário em gel",4397884,1300,DESCLASSIFICADO,UND,11284,8.68
"Dispenser plástico de parede para papel Toalha",4397885,400,DESCLASSIFICADO,UND,9308,23.27
"Dispenser plástico de sabonete liquido",4397886,700,VENCEU,UND,11900,17
"Frasco com Válvula pump",4397887,3000,NAO_COTOU,UND,0,0
"Luva Látex não Estéril Tamanho G Caixa",4397888,1000,NAO_COTOU,CX,0,0
"Luva Látex não Estéril Tamanho M",4397889,1000,NAO_COTOU,CX,0,0
"Máscara de oxigênio com bolsa reservatório e de não reinalaç",4397890,120,NAO_COTOU,UND,0,0
"Máscara Protetora facial (FACE SHIELD), reutilizável",4397891,2000,NAO_COTOU,UND,0,0
"Protetor de balcão/Mesa Stay",4397892,200,NAO_COTOU,UND,0,0
"Pulverizador 2 em 1 com gatilho anatômico",4397893,470,NAO_COTOU,UND,0,0
"Pulverizador de compreensão prévia 1,2L, pressão máxima3,0ba",4397894,720,NAO_COTOU,UND,0,0
"Refil Mop seco 60 cm",4397895,500,DESCLASSIFICADO,UND,13785,27.57
"Refil Mop Úmido com no mínimo 340 g",4397896,1200,DESCLASSIFICADO,UND,14424,12.02
"Saca de tecido 100 % alvejado",4397897,1600,VENCEU,UND,6480,4.05
"Saca de tecido crua",4397898,1600,DESCLASSIFICADO,PCT,5904,3.69
"Saco plástico de lixo doméstico 150 litros",4397899,400,DESCLASSIFICADO,PCT,22532,56.33
"Saco plástico de lixo doméstico 200 litros",4397900,100,DESCLASSIFICADO,PCT,6170,61.7
"Tapete barreira sanitária ( pedilúvio ) 1,00 metros de compr",4397901,210,NAO_COTOU,UND,0,0
"Tapete barreira sanitária ( pedilúvio ) tamanho 1,50 metros",4397902,31,NAO_COTOU,UND,0,0
"Termômetro Clínico Digital de Testa sem contato",4397903,120,NAO_COTOU,UND,0,0
"Desinfetante à base de quaternário de amônio de 5a geração",4397904,222,NAO_COTOU,GL,0,0
