descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CITROEN C3 LIVE 2023",16825960,1,VENCEU,UN,4255.24,37
"CITROEN JUMPER M35LH 23S 2013",16825961,1,PERDEU,UN,4255.32,33.4
"FIAT ARGO 1.0 FLEX 2021",16825962,3,VENCEU,UND,12765.96,24.5
"FIAT CRONOS DRIVE 2022",16825963,1,PERDEU,UN,4255.32,45.9
"FIAT DOBLO ESSENCE 7L E 1.8 8V Flex 2017 - 2020",16825964,3,VENCEU,UND,12765.96,26
"FIAT DUCATO MAXICARGO 2021",16825965,1,PERDEU,UN,4255.32,35.9
"FIAT DUCATO VAN MINIBUS 2.3 Multijet Economy 16v 2014 – 2021",16825966,2,PERDEU,UND,8510.64,42.9
"FIAT FIORINO ENDURANCE FURGÃO 2021",16825967,1,PERDEU,UND,4255.32,56.9
"FIAT PULSE AUDACE TF200 2023",16825968,5,VENCEU,UN,21276.6,56
"FIAT SCUDO CARGO TD 2023",16825969,1,PERDEU,UN,4255.32,43.5
"FIAT STRADA HD WORKING CC E GASOLINA 2017",16825970,1,PERDEU,UND,4255.32,57.5
"GM MONTANA LS2 1.4 8V 2020",16825971,4,VENCEU,UND,17021.28,67.5
"GM ONIX PLUS 10TMT LT1 2022",16825972,1,PERDEU,UND,4255.32,53.9
"GM S-10 CAB. DUPLA COLINA 2.8 Turbo Diesel 4x4 2009",16825973,1,PERDEU,UND,4255.32,56.9
"GM S-10 RODEIO 2.8 D 4X4 DIESEL 2011",16825974,1,PERDEU,UND,4255.32,55.9
"GM S-10 LT DD4 2015",16825975,1,PERDEU,UND,4255.32,35.9
"GM S-10 LTZ FD4A 2020",16825976,1,VENCEU,UND,4255.32,42
"GM SPIN 1.8L MT LTZ 8v Econo.Flex 2019",16825977,1,PERDEU,UND,4255.32,21.9
"GM SPIN 1.8L AT PREMIER FLEX 2020 - 2022",16825978,3,VENCEU,UND,12765.96,24.9
"GM SPIN 1.8L MT PREMIER FLEX 2021 – 2022",16825979,8,VENCEU,UND,34042.56,25
"HYUNDAI HB20 S10 TA PLATIN 2022",16825980,1,PERDEU,UND,4255.32,10
"HYUNDAI HB20 S10 TM PLATIN 2022",16825981,2,PERDEU,UND,8510.64,26.45
"HYUNDAI HR HDB 2013 - 2020",16825982,8,PERDEU,UND,34042.56,55.95
"IVECO CAMIN. FURGÃO DAILY 35s14 HDG FURGÃO 2018",16825983,1,PERDEU,UND,4255.32,10
"KIA BONGO K2500 LD 2009",16825984,1,PERDEU,UND,4255.32,10
"KIA BONGO UK2500 HD 2021 - 2022",16825985,2,PERDEU,UN,8510.64,10
"M. BENZ 416 CDI SPRINTER FURGÃO 2021",16825986,2,PERDEU,UND,8510.64,10
"M. BENZ 415 EUROLAF AMB 2018",16825987,1,PERDEU,UND,4255.32,10
"M. BENZ CDI SPRINTER TCA AMB 2019 – 2021",16825988,4,PERDEU,UND,17021.28,10
"M. BENZ 515 CDI SPRINTER MICROONIBUS 2019",16825989,1,PERDEU,UND,4255.32,10
"M. BENZ 515 CDI SPRINTER TCA AMB 2019",16825990,2,PERDEU,UND,8510.64,10
"M. BENZ 516 CDI SPRINTER MICROONIBUS 2021",16825991,1,PERDEU,UND,4255.32,10
"M. BENZ 415 CDI SPRINTER FURGÃO 2018",16825992,1,PERDEU,UND,4255.32,10
"M. BENZ 415 CDI SPRINTER MICROONIBUS 2019",16825993,1,PERDEU,UND,4255.32,10
"NISSAN FRONTIER SV ATTACK AT. 4x4 2.5 Turbo-Diesel 174cv 2015",16825994,1,PERDEU,UND,4255.32,10
"PEUGEOT BOXER M350 LH  2.3 126cv TB Diesel 2015",16825995,3,PERDEU,UND,12765.96,10
"PEUGEOT BOXER BUSIN L3 2021",16825996,1,PERDEU,UND,4255.32,10
"PEUGEOT BOXER EUROLAF 2021",16825997,2,PERDEU,UND,8510.64,13
"PEUGEOT PARTNER 1.6 2022",16825998,4,PERDEU,UND,17021.28,34.95
"RENAULT MASTER ROTANAMB FURGÃO 2.5 16v Diesel 2016",16825999,2,PERDEU,UND,8510.64,39.95
"RENAULT MASTER EURO AMB FURGÃO 2017",16826000,1,PERDEU,UND,4255.32,35.95
"RENAULT MASTER FURGÃO L2H2 2.5 16V DIESEL 2020",16826001,2,PERDEU,UND,8510.64,34.95
"TOYOTA COROLLA XEI 2.0 FLEX 2018 - 2022",16826002,2,PERDEU,UND,8510.64,10
"VW KOMBI (06-11) STANDARD 1.4 Mi Total Flex 2009 – 2011",16826003,3,VENCEU,UND,12765.96,82
"VW SAVEIRO ROBUST CAB. SIMPLES 1.6 8V FLEX 2018 - 2019",16826004,2,PERDEU,UND,8510.64,10
"VW VIRTUS HL 200 TSI 2022",16826005,1,PERDEU,UN,4255.32,10
"VW VOYAGE 1.6L MB5 2019",16826006,1,VENCEU,UND,4255.32,36
