acao,ano,descricaoElemento,fonteRecurso,funcao,id,numeroElemento,orgao,portaria,programa,subfuncao,unidade
1013,2022,"Aplicacoes Diretas","Outras Especificações",15,1311495,4465067,"PREFEITURA MUNICIPAL DE CRICIÚMA"," ",1001,451,
1013,2022,"Aplicacoes Diretas","Convênio de Trânsito - Prefeitura",15,1311497,4465067,"PREFEITURA MUNICIPAL DE CRICIÚMA"," ",1001,451,
1024,2022,"Aplicacoes Diretas","Recursos Ordinários",4,1311436,4465067,"SEC. MUN. DA FAZENDA"," ",1004,122,
1032,2022,"Aplicacoes Diretas","Receitas de Impostos e de Transferência de Impostos - Educação",12,1311549,4465067,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1032,2022,"Aplicacoes Diretas","Salário Educação",12,1311548,4465067,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1221,2022,"Aplicacoes Diretas","Outras Especificações",18,1662786,4465067,"SEC. M. DE INFRAEST.,PLANEJ. E MOBILIDADE URBANA"," ",1020,122,
1045,2022,"Aplicacoes Diretas","Transf. do SUS/União",10,1311155,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1045,2022,"Aplicacoes Diretas","Receitas de Impostos e de Transferência de Impostos - Saúde",10,1311152,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1049,2022,"Aplicacoes Diretas","Transf. do SUS/União",10,1311204,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,304,
1050,2022,"Aplicacoes Diretas","Transf. do SUS/União",10,1311174,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1050,2022,"Aplicacoes Diretas","Transf. do SUS/Estado",10,1311173,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1054,2022,"Aplicacoes Diretas","Transf. do SUS/União",10,1311186,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1055,2022,"Aplicacoes Diretas","Transf. do SUS/União",10,1311151,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1207,2022,"Aplicacoes Diretas","Receitas de Impostos e de Transferência de Impostos - Saúde",10,1311229,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,305,
1048,2022,"Aplicacoes Diretas","Receitas de Impostos e de Transferência de Impostos - Saúde",10,1311237,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1048,2022,"Aplicacoes Diretas","Transf. do SUS/União",10,1311241,4465067,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1067,2022,"Aplicacoes Diretas","Recursos Ordinários",8,1311106,4465067,UNESC," ",1014,244,
1067,2022,"Aplicacoes Diretas","Transf. do Sist. Unico de Assist. Social-SUAS/União",8,1311108,4465067,UNESC," ",1014,244,
